Date,Product,Country,Region,SKU,Actuals
2018-12-1,UTE,BR,PR,UTE_CARAMBEI,264529
2019-1-1,UTE,BR,PR,UTE_CARAMBEI,1957108
2019-10-1,UTE,BR,PR,UTE_CARAMBEI,2628403
2019-11-1,UTE,BR,PR,UTE_CARAMBEI,2617969
2019-12-1,UTE,BR,PR,UTE_CARAMBEI,2393808
2019-2-1,UTE,BR,PR,UTE_CARAMBEI,468701
2019-3-1,UTE,BR,PR,UTE_CARAMBEI,307466
2019-4-1,UTE,BR,PR,UTE_CARAMBEI,1510036
2019-5-1,UTE,BR,PR,UTE_CARAMBEI,1928447
2019-6-1,UTE,BR,PR,UTE_CARAMBEI,2043367
2019-7-1,UTE,BR,PR,UTE_CARAMBEI,2542757
2019-8-1,UTE,BR,PR,UTE_CARAMBEI,2284639
2019-9-1,UTE,BR,PR,UTE_CARAMBEI,1868033
2020-1-1,UTE,BR,PR,UTE_CARAMBEI,2455783
2020-10-1,UTE,BR,PR,UTE_CARAMBEI,2806837
2020-11-1,UTE,BR,PR,UTE_CARAMBEI,2712149
2020-12-1,CGH,BR,SC,BECKER,0
2020-12-1,CGH,BR,SC,PONTE_CAIDA,0
2020-12-1,UTE,BR,PR,UTE_CARAMBEI,2550344
2020-2-1,UTE,BR,PR,UTE_CARAMBEI,2326975
2020-3-1,UTE,BR,PR,UTE_CARAMBEI,2608143
2020-4-1,UTE,BR,PR,UTE_CARAMBEI,1689013
2020-5-1,UTE,BR,PR,UTE_CARAMBEI,3104542
2020-6-1,UTE,BR,PR,UTE_CARAMBEI,2678429
2020-7-1,UTE,BR,PR,UTE_CARAMBEI,1984654
2020-8-1,UTE,BR,PR,UTE_CARAMBEI,2535941
2020-9-1,UTE,BR,PR,UTE_CARAMBEI,2563518
2021-1-1,CGH,BR,SC,BECKER,54710
2021-1-1,CGH,BR,SC,PONTE_CAIDA,40975
2021-1-1,UTE,BR,PR,UTE_CARAMBEI,2323162
2021-10-1,BIOGÁS,BR,PR,CASTROLANDA,86768
2021-10-1,CGH,BR,MG,ET_VARGINHA_S/A,0
2021-10-1,CGH,BR,PR,COESEX,25090
2021-10-1,CGH,BR,PR,GERMANIA,77700
2021-10-1,CGH,BR,PR,RINCAO_DA_PONTE,231047
2021-10-1,CGH,BR,PR,TRES_PEDRAS,95210
2021-10-1,CGH,BR,SC,ARABUTA,77414
2021-10-1,CGH,BR,SC,ARIRANHA,57111
2021-10-1,CGH,BR,SC,BECKER,240714
2021-10-1,CGH,BR,SC,PONTE_CAIDA,184068
2021-10-1,UFV,BR,SC,BARAO_DO_TRIUNFO_I,10321
2021-10-1,UFV,BR,SC,BARAO_DO_TRIUNFO_II,4085
